"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","263.73","263.70","264.36","261.69","","0.01%"
"09/30/2024","263.70","265.28","265.52","261.72","","-0.60%"
"09/27/2024","265.28","264.19","265.28","259.99","","0.41%"
"09/26/2024","264.19","264.25","264.25","258.96","","-0.02%"
"09/25/2024","264.25","264.23","264.82","260.63","","0.01%"
"09/24/2024","264.23","264.84","265.37","259.93","","-0.23%"
"09/23/2024","264.84","263.76","266.06","262.41","","0.41%"
"09/20/2024","263.76","261.27","265.19","260.72","","0.95%"
"09/19/2024","261.27","262.10","264.38","260.05","","-0.32%"
"09/18/2024","262.10","262.02","262.92","260.35","","0.03%"
"09/17/2024","262.02","262.04","262.88","260.95","","-0.01%"
"09/16/2024","262.04","261.24","262.60","259.33","","0.31%"
"09/13/2024","261.24","260.56","262.13","259.62","","0.26%"
"09/12/2024","260.56","259.07","261.02","258.02","","0.58%"
"09/11/2024","259.07","259.54","262.18","258.24","","-0.18%"
"09/10/2024","259.54","258.30","260.91","258.30","","0.48%"
"09/09/2024","258.30","259.27","260.06","257.66","","-0.37%"
"09/06/2024","259.27","258.48","262.03","257.63","","0.31%"
"09/05/2024","258.48","257.90","261.85","257.15","","0.22%"
"09/04/2024","257.90","257.93","259.46","256.70","","-0.01%"
"09/03/2024","257.93","255.79","258.42","254.81","","0.84%"
"09/02/2024","255.79","253.67","257.78","253.67","","0.84%"
"08/30/2024","253.67","253.51","255.53","252.33","","0.06%"
"08/29/2024","253.51","251.89","257.20","251.18","","0.64%"
"08/28/2024","251.89","250.52","253.11","250.52","","0.55%"
"08/27/2024","250.52","249.33","253.10","249.11","","0.48%"
"08/26/2024","249.33","252.92","253.04","247.74","","-1.42%"
"08/23/2024","252.92","251.61","253.08","251.52","","0.52%"
"08/22/2024","251.61","250.67","252.30","250.19","","0.37%"
"08/21/2024","250.67","250.22","251.76","248.81","","0.18%"
"08/20/2024","250.22","249.75","250.49","247.69","","0.19%"
"08/19/2024","249.75","248.13","249.75","245.20","","0.65%"
"08/16/2024","248.13","248.91","252.72","247.02","","-0.31%"
"08/14/2024","248.91","248.88","249.04","247.57","","0.01%"
"08/13/2024","248.88","247.86","249.28","246.76","","0.41%"
"08/12/2024","247.86","248.54","248.92","246.78","","-0.27%"
"08/09/2024","248.54","242.77","248.54","242.20","","2.38%"
"08/08/2024","242.77","241.46","242.80","240.74","","0.54%"
"08/06/2024","241.46","240.18","241.46","239.45","","0.53%"
"08/05/2024","240.18","241.32","242.84","240.13","","-0.47%"
"08/02/2024","241.32","238.00","241.51","237.50","","1.39%"
"08/01/2024","238.00","238.66","241.33","237.27","","-0.28%"
"07/31/2024","238.66","237.35","242.04","237.33","","0.55%"
"07/30/2024","237.35","238.95","240.72","237.35","","-0.67%"
"07/29/2024","238.95","239.30","239.38","236.80","","-0.15%"
"07/26/2024","239.30","238.31","239.38","235.92","","0.42%"
"07/25/2024","238.31","238.45","238.45","236.06","","-0.06%"
"07/24/2024","238.45","237.10","238.45","235.55","","0.57%"
"07/23/2024","237.10","237.44","239.04","236.11","","-0.14%"
"07/22/2024","237.44","239.18","239.22","236.88","","-0.73%"
"07/19/2024","239.18","237.89","240.01","236.14","","0.54%"
"07/18/2024","237.89","238.38","241.35","236.06","","-0.21%"
"07/17/2024","238.38","234.94","238.40","234.05","","1.46%"
"07/16/2024","234.94","232.59","234.94","231.86","","1.01%"
"07/15/2024","232.59","231.66","232.59","230.29","","0.40%"
"07/12/2024","231.66","232.60","232.90","230.38","","-0.40%"
"07/11/2024","232.60","231.73","233.60","230.58","","0.38%"
"07/10/2024","231.73","229.73","232.27","229.22","","0.87%"
"07/09/2024","229.73","229.93","231.31","228.07","","-0.09%"
"07/08/2024","229.93","229.48","230.81","228.22","","0.20%"
"07/05/2024","229.48","229.88","229.97","228.29","","-0.17%"
"07/04/2024","229.88","229.66","230.61","228.03","","0.10%"
"07/03/2024","229.66","230.33","230.33","228.63","","-0.29%"
"07/02/2024","230.33","229.08","230.33","228.81","","0.55%"
"07/01/2024","229.08","229.70","230.02","228.50","","-0.27%"
"06/28/2024","229.70","229.19","230.21","227.78","","0.22%"
"06/27/2024","229.19","230.06","230.70","228.21","","-0.38%"
"06/26/2024","230.06","230.21","230.21","228.06","","-0.07%"
"06/25/2024","230.21","229.48","230.44","228.28","","0.32%"
"06/24/2024","229.48","230.05","230.62","228.67","","-0.25%"
"06/21/2024","230.05","230.30","230.88","228.36","","-0.11%"
"06/20/2024","230.30","228.27","230.34","227.97","","0.89%"
"06/19/2024","228.27","228.35","229.40","227.26","","-0.04%"
"06/18/2024","228.35","228.88","229.69","227.31","","-0.23%"
"06/14/2024","228.88","227.59","229.04","227.53","","0.57%"
"06/13/2024","227.59","225.85","227.59","224.87","","0.77%"
"06/12/2024","225.85","225.95","226.46","225.42","","-0.04%"
"06/11/2024","225.95","225.67","227.45","225.28","","0.12%"
"06/10/2024","225.67","226.12","226.71","225.07","","-0.20%"
"06/07/2024","226.12","226.48","226.71","225.07","","-0.16%"
"06/06/2024","226.48","225.41","226.48","224.16","","0.47%"
"06/05/2024","225.41","225.95","225.95","221.14","","-0.24%"
"06/04/2024","225.95","225.20","225.99","222.69","","0.33%"
"06/03/2024","225.20","225.29","225.54","222.49","","-0.04%"
"05/31/2024","225.29","222.57","225.29","221.74","","1.22%"
"05/30/2024","222.57","226.07","226.07","220.96","","-1.55%"
"05/29/2024","226.07","226.12","226.24","223.61","","-0.02%"
"05/28/2024","226.12","224.62","227.76","224.11","","0.67%"
"05/27/2024","224.62","224.44","225.72","223.27","","0.08%"
"05/24/2024","224.44","221.45","224.71","220.92","","1.35%"
"05/23/2024","221.45","220.68","221.63","219.73","","0.35%"
"05/22/2024","220.68","219.48","220.98","218.37","","0.55%"
"05/21/2024","219.48","220.13","221.13","218.25","","-0.30%"
"05/17/2024","220.13","219.40","220.13","216.37","","0.33%"
"05/16/2024","219.40","220.20","221.32","216.73","","-0.36%"
"05/15/2024","220.20","222.62","222.62","216.50","","-1.09%"
"05/14/2024","222.62","219.97","222.84","218.61","","1.20%"
"05/13/2024","219.97","219.91","220.26","218.42","","0.03%"
"05/10/2024","219.91","220.33","220.49","219.06","","-0.19%"
"05/08/2024","220.33","218.95","220.33","217.73","","0.63%"
"05/07/2024","218.95","219.15","219.57","218.08","","-0.09%"
"05/06/2024","219.15","219.19","219.72","217.74","","-0.35%"
"05/02/2024","219.92","220.67","220.67","219.24","","-0.34%"
"04/30/2024","220.67","219.26","220.83","218.56","","0.64%"
"04/29/2024","219.26","219.85","219.85","218.82","","-0.27%"
"04/26/2024","219.85","219.17","219.85","217.89","","0.31%"
"04/25/2024","219.17","217.41","219.17","216.44","","0.81%"
"04/24/2024","217.41","218.94","219.27","218.27","","-0.70%"
"04/23/2024","218.94","218.18","219.09","216.70","","0.35%"
"04/22/2024","218.18","218.60","219.08","217.54","","-0.19%"
"04/19/2024","218.60","219.14","220.26","217.95","","-0.25%"
"04/18/2024","219.14","219.36","219.71","216.77","","-0.10%"
"04/17/2024","219.36","218.03","219.36","217.65","","0.61%"
"04/16/2024","218.03","219.15","219.30","216.83","","-0.51%"
"04/15/2024","219.15","218.34","219.26","218.06","","0.37%"
"04/12/2024","218.34","218.79","218.79","215.97","","-0.21%"
"04/11/2024","218.79","218.59","218.79","216.82","","1.52%"
"04/08/2024","215.52","215.30","216.09","214.21","","0.10%"
"04/05/2024","215.30","216.12","216.24","214.01","","-0.38%"
"04/04/2024","216.12","216.34","216.35","214.92","","-0.10%"
"04/03/2024","216.34","215.80","216.34","215.12","","0.25%"
"04/02/2024","215.80","215.60","215.83","213.37","","0.09%"
"03/29/2024","215.60","215.92","216.04","212.73","","-0.15%"
"03/28/2024","215.92","215.15","216.06","214.04","","0.36%"
"03/27/2024","215.15","215.04","215.41","213.78","","0.05%"
"03/26/2024","215.04","214.52","215.04","212.14","","0.24%"
"03/25/2024","214.52","214.29","214.76","212.64","","0.11%"
"03/22/2024","214.29","213.43","214.71","212.91","","0.40%"
"03/21/2024","213.43","213.80","213.93","212.69","","-0.17%"
"03/20/2024","213.80","213.59","214.00","212.34","","0.10%"
"03/19/2024","213.59","214.13","214.17","212.45","","-0.25%"
"03/18/2024","214.13","211.92","214.13","211.51","","1.04%"
"03/15/2024","211.92","212.07","212.15","211.05","","-0.07%"
"03/14/2024","212.07","212.55","212.65","211.01","","-0.23%"
"03/13/2024","212.55","212.76","212.76","210.80","","-0.10%"
"03/12/2024","212.76","212.23","212.82","210.57","","0.25%"
"03/11/2024","212.23","212.98","213.57","211.30","","-0.35%"
"03/08/2024","212.98","212.17","212.98","210.46","","0.38%"
"03/07/2024","212.17","210.92","212.71","210.77","","0.59%"
"03/06/2024","210.92","212.21","212.70","210.83","","-0.61%"
"03/05/2024","212.21","212.96","213.09","210.42","","-0.35%"
"03/04/2024","212.96","212.54","212.96","210.57","","0.20%"
"03/01/2024","212.54","213.50","213.70","211.31","","-0.45%"
"02/29/2024","213.50","212.58","213.66","210.14","","0.43%"
"02/28/2024","212.58","212.19","212.58","211.06","","0.18%"
"02/27/2024","212.19","212.58","212.58","208.76","","-0.18%"
"02/26/2024","212.58","212.47","214.84","210.98","","0.05%"
"02/23/2024","212.47","211.53","213.03","210.78","","0.44%"
"02/22/2024","211.53","210.38","211.53","209.37","","0.55%"
"02/21/2024","210.38","210.69","210.69","207.47","","-0.15%"
